date,hour,kwh
2022-06-18,0,37.3396
2022-06-18,1,37.4111
2022-06-18,2,37.3821
2022-06-18,3,37.8268
2022-06-18,4,49.5884
2022-06-18,5,60.2849
2022-06-18,6,57.4391
2022-06-18,7,56.9767
2022-06-18,8,59.8042
2022-06-18,9,66.2371
2022-06-18,10,67.0385
2022-06-18,11,79.6203
2022-06-18,12,75.6307
2022-06-18,13,79.7006
2022-06-18,14,78.0304
2022-06-18,15,81.2609
2022-06-18,16,78.4324
2022-06-18,17,80.9591
2022-06-18,18,75.2038
2022-06-18,19,73.7863
2022-06-18,20,63.6194
2022-06-18,21,64.4832
2022-06-18,22,63.5876
2022-06-18,23,48.1823
2022-06-19,0,36.2162
2022-06-19,1,37.3755
2022-06-19,2,36.2858
2022-06-19,3,36.6238
2022-06-19,4,49.436
2022-06-19,5,57.0997
2022-06-19,6,52.8874
2022-06-19,7,56.3072
2022-06-19,8,59.1511
2022-06-19,9,67.6552
2022-06-19,10,73.2934
2022-06-19,11,79.2013
2022-06-19,12,82.6206
2022-06-19,13,82.7734
2022-06-19,14,84.8122
2022-06-19,15,83.4445
2022-06-19,16,82.1974
2022-06-19,17,83.7574
2022-06-19,18,81.663
2022-06-19,19,80.0355
2022-06-19,20,65.7879
2022-06-19,21,65.3921
2022-06-19,22,62.1519
2022-06-19,23,48.0301
2022-06-20,0,32.3357
2022-06-20,1,31.9299
2022-06-20,2,32.0099
2022-06-20,3,31.6873
2022-06-20,4,46.2866
2022-06-20,5,56.4131
2022-06-20,6,55.2051
2022-06-20,7,62.3623
2022-06-20,8,65.3843
2022-06-20,9,72.3773
2022-06-20,10,78.7775
2022-06-20,11,82.7983
2022-06-20,12,87.7878
2022-06-20,13,93.3759
2022-06-20,14,93.6821
2022-06-20,15,94.5035
2022-06-20,16,101.8376
2022-06-20,17,109.1326
2022-06-20,18,100.3425
2022-06-20,19,92.836
2022-06-20,20,87.5693
2022-06-20,21,81.5627
2022-06-20,22,71.0176
2022-06-20,23,48.1618
2022-06-21,0,39.6509
2022-06-21,1,35.6975
2022-06-21,2,39.3028
2022-06-21,3,37.5772
2022-06-21,4,50.5543
2022-06-21,5,63.5543
2022-06-21,6,59.7538
2022-06-21,7,62.057
2022-06-21,8,68.9458
2022-06-21,9,79.2705
2022-06-21,10,100.1633
2022-06-21,11,102.3373
2022-06-21,12,110.8555
2022-06-21,13,112.8393
2022-06-21,14,103.1842
2022-06-21,15,125.2817
2022-06-21,16,126.7575
2022-06-21,17,132.3602
2022-06-21,18,125.4289
2022-06-21,19,120.1923
2022-06-21,20,111.4473
2022-06-21,21,103.1664
2022-06-21,22,79.274
2022-06-21,23,62.007
2022-06-22,0,43.8296
2022-06-22,1,41.6306
2022-06-22,2,39.9973
2022-06-22,3,39.2285
2022-06-22,4,57.4628
2022-06-22,5,74.7616
2022-06-22,6,68.206
2022-06-22,7,77.5911
2022-06-22,8,86.5384
2022-06-22,9,101.4786
2022-06-22,10,121.0132
2022-06-22,11,113.377
2022-06-22,12,118.1919
2022-06-22,13,129.692
2022-06-22,14,135.9977
2022-06-22,15,141.7592
2022-06-22,16,146.341
2022-06-22,17,148.351
2022-06-22,18,143.9592
2022-06-22,19,133.0359
2022-06-22,20,129.6508
2022-06-22,21,120.352
2022-06-22,22,100.173
2022-06-22,23,66.6379
2022-06-23,0,51.5334
2022-06-23,1,55.5389
2022-06-23,2,54.3269
2022-06-23,3,50.6371
2022-06-23,4,69.2507
2022-06-23,5,87.9273
2022-06-23,6,80.0588
2022-06-23,7,77.7478
2022-06-23,8,80.024
2022-06-23,9,95.2787
2022-06-23,10,103.7309
2022-06-23,11,118.7257
2022-06-23,12,119.9872
2022-06-23,13,121.9122
2022-06-23,14,139.7185
2022-06-23,15,150.1729
2022-06-23,16,144.0296
2022-06-23,17,138.6841
2022-06-23,18,141.2333
2022-06-23,19,134.8059
2022-06-23,20,124.6368
2022-06-23,21,111.1028
2022-06-23,22,91.6578
2022-06-23,23,63.5785
2022-06-24,0,49.6953
2022-06-24,1,51.9539
2022-06-24,2,49.018
2022-06-24,3,46.8325
2022-06-24,4,67.2687
2022-06-24,5,81.4406
2022-06-24,6,74.3309
2022-06-24,7,79.4382
2022-06-24,8,86.9346
2022-06-24,9,96.9047
2022-06-24,10,96.7185
2022-06-24,11,103.5229
2022-06-24,12,113.4271
2022-06-24,13,126.9407
2022-06-24,14,144.7863
2022-06-24,15,149.2461
2022-06-24,16,146.5618
2022-06-24,17,143.7232
2022-06-24,18,138.7102
2022-06-24,19,121.6584
2022-06-24,20,110.7095
2022-06-24,21,97.6065
2022-06-24,22,88.878
2022-06-24,23,61.2871
2022-06-25,0,48.1116
2022-06-25,1,50.3294
2022-06-25,2,49.1533
2022-06-25,3,44.867
2022-06-25,4,65.7027
2022-06-25,5,73.3971
2022-06-25,6,65.111
2022-06-25,7,72.1027
2022-06-25,8,80.1964
2022-06-25,9,87.7778
2022-06-25,10,94.142
2022-06-25,11,102.344
2022-06-25,12,118.475
2022-06-25,13,124.1609
2022-06-25,14,139.0376
2022-06-25,15,144.3777
2022-06-25,16,146.1793
2022-06-25,17,134.9464
2022-06-25,18,138.3878
2022-06-25,19,121.7472
2022-06-25,20,100.2434
2022-06-25,21,86.6737
2022-06-25,22,80.0446
2022-06-25,23,61.3431
2022-06-26,0,47.0763
2022-06-26,1,48.8558
2022-06-26,2,44.0404
2022-06-26,3,46.4264
2022-06-26,4,65.1648
2022-06-26,5,72.1884
2022-06-26,6,66.5804
2022-06-26,7,70.1685
2022-06-26,8,79.6332
2022-06-26,9,86.0423
2022-06-26,10,93.432
2022-06-26,11,102.8586
2022-06-26,12,112.2164
2022-06-26,13,116.1754
2022-06-26,14,129.9429
2022-06-26,15,142.5187
2022-06-26,16,139.174
2022-06-26,17,144.5443
2022-06-26,18,135.6513
2022-06-26,19,121.7901
2022-06-26,20,100.8548
2022-06-26,21,100.8714
